whitePixels,blobDiameter,nBlobs,diagnostic
216,39.13965129852295,4,1
500,28.55919361114502,4,1
382,39.162113904953,4,1
205,35.00742220878601,4,1
269,31.497883081436157,4,1
333,46.812137603759766,4,1
205,34.84758400917053,4,0
505,42.664806842803955,4,1
347,31.37901544570923,4,1
173,35.63759756088257,4,1
341,39.979427099227905,4,1
353,38.77651500701904,4,1
246,34.357802391052246,4,1
654,64.1227970123291,4,1
349,37.53177547454834,4,1
128,21.332345485687256,3,1
563,47.957717180252075,4,1
310,43.72520303726196,4,1
388,41.540464639663696,4,1
650,64.43855857849121,4,1
584,49.38968801498413,4,1
288,32.58987283706665,4,1
375,26.631916999816895,4,1
430,42.64174675941467,4,1
146,32.197163581848145,4,1
529,49.6956262588501,4,1
321,33.85502004623413,4,1
242,31.44929790496826,3,1
314,33.92485690116882,4,1
204,37.620859146118164,4,1
734,68.37154293060303,4,1
360,34.277586698532104,4,1
231,38.19206094741821,4,1
390,43.55302309989929,4,1
378,41.95432686805725,4,1
322,37.30247712135315,4,1
240,39.1289267539978,4,1
292,40.41571664810181,4,1
269,42.07818412780762,4,1
195,19.748682498931885,3,1
238,26.656099796295166,4,1
226,39.36392688751221,4,1
274,43.05857467651367,4,1
554,40.578527212142944,4,1
317,26.763470888137817,4,1
387,42.18658494949341,4,1
544,58.54056262969971,4,1
250,23.10841178894043,4,1
310,37.035104751586914,4,1
415,33.42610216140747,4,1
175,37.160160064697266,4,1
338,16.355607986450195,2,1
416,23.597161531448364,4,1
373,48.22675132751465,4,1
318,46.43315601348877,4,1
582,50.61170482635498,4,1
394,38.954241037368774,4,1
138,31.815680503845215,4,1
450,42.367055892944336,4,1
467,54.567893981933594,4,1
196,30.24521541595459,3,0
127,29.022117614746094,4,0
165,34.85372543334961,4,0
203,39.5582914352417,4,0
148,34.25884485244751,4,0
140,31.30220317840576,4,0
72,23.669617652893066,4,0
59,13.341209650039673,3,0
195,34.8469295501709,4,0
190,38.6391487121582,4,0
144,31.244661331176758,4,0
352,47.80502939224243,4,0
91,22.868882179260254,3,0
84,20.23695135116577,3,0
149,31.398980617523193,4,0
200,25.357094764709473,3,0
182,36.247178077697754,4,0
194,33.99115347862244,4,0
199,31.030137300491333,4,0
156,31.646867275238037,4,0
347,46.8388671875,4,0
198,38.703744888305664,4,0
185,37.50539016723633,4,0
273,44.53379440307617,4,0
194,31.93373966217041,4,0
124,26.852524280548096,4,0
179,35.53099966049194,4,0
154,26.741347312927246,4,0
188,26.852261543273926,3,0
134,26.98704433441162,3,0
176,28.24224615097046,4,0
165,34.0904598236084,4,0
148,27.776912689208984,3,0
163,33.239760637283325,4,0
186,37.547295570373535,4,0
158,33.81190013885498,4,0
316,38.8137686252594,4,0
206,36.97592067718506,4,0
227,42.434152603149414,4,0
175,25.673929929733276,4,0
124,29.6612286567688,4,0
107,23.070959091186523,3,0
109,23.150929927825928,4,0
99,24.648767232894897,4,0
191,37.93748331069946,4,0
106,23.696409225463867,3,0
74,21.2755925655365,4,0
175,34.90083360671997,4,0
183,32.154311656951904,4,0
133,29.06940984725952,4,0
316,33.42861747741699,4,0
154,34.57764291763306,4,0
112,25.57284426689148,4,0
328,32.26891613006592,4,0
130,33.380184173583984,4,0
124,31.603450298309326,4,0
210,40.21338081359863,4,0
186,26.105904817581177,4,0
194,32.38312292098999,4,0
219,39.03616809844971,4,0
183,37.1636438369751,4,0
141,28.714295864105225,4,0
152,33.229122161865234,4,0
273,37.06678533554077,4,0
204,38.27446889877319,4,0
90,23.455724239349365,4,0
223,29.15693974494934,4,0
172,28.153553247451782,4,0
92,13.869848012924194,3,0
229,34.50933289527893,4,0
159,29.869258880615234,3,0
78,18.1148784160614,3,0
163,29.88249945640564,4,0
254,41.43851375579834,4,0
157,32.889954566955566,4,0
115,18.602134466171265,3,0
191,34.544909954071045,4,0
199,21.651530981063843,4,0
186,37.415324211120605,4,0
201,28.561917781829834,3,0
135,30.421441555023193,4,0
199,35.196786403656006,4,0
276,36.01529312133789,4,0
226,32.34935927391052,4,0
252,18.413572311401367,3,0
157,21.181437969207764,4,0
122,27.127211570739746,4,0
159,24.20056462287903,4,0
145,24.53327703475952,4,0
181,32.82666301727295,4,0
178,34.5266318321228,4,0
137,28.66555690765381,3,0
154,32.42604160308838,4,0
140,32.71738004684448,4,0
257,33.26735830307007,4,0
162,33.261958599090576,4,0
111,26.984900951385498,4,0
73,18.37926745414734,3,0
143,32.98450040817261,4,0
135,28.242738723754883,4,0
97,25.88813829421997,4,0
161,33.90786123275757,4,0
140,20.817518711090088,3,0
231,31.70172882080078,4,0
179,23.69222068786621,3,0
116,23.94421100616455,4,0
236,40.2222261428833,4,0
169,29.90205669403076,3,0
150,29.503003358840942,4,0
57,17.37852191925049,3,0
69,18.724459409713745,3,0
218,40.59566688537598,4,0
205,18.038787364959717,2,0
168,28.266705751419067,4,0
269,36.137837409973145,4,0
180,21.693522691726685,4,0
200,36.34679675102234,4,0
141,31.782697677612305,4,0
