,areaQ1,areaQ2,areaQ3,areaQ4,blobs,diagnostic,distanceQ1,distanceQ2,distanceQ3,distanceQ4,horizontalDiagQ1,horizontalDiagQ2,horizontalDiagQ3,horizontalDiagQ4,perimeterQ1,perimeterQ2,perimeterQ3,perimeterQ4,verticalDiagQ1,verticalDiagQ2,verticalDiagQ3,verticalDiagQ4
0,0.0,0.0,4.0,8.0,2.0,P,0.0,0.0,44.598206241955516,43.18564576337837,0.0,0.0,2.8284271247461903,3.1622776601683795,0.0,0.0,8.0,10.828427076339722,0.0,0.0,2.0,3.1622776601683795
1,54.0,57.0,92.5,0.0,3.0,P,44.553338819890925,41.72529209005013,40.36087214122113,0.0,10.198039027185569,9.219544457292887,11.045361017187261,0.0,28.97056245803833,28.14213538169861,38.041630148887634,0.0,8.06225774829855,8.06225774829855,13.341664064126334,0.0
2,28.5,13.0,4.0,40.0,4.0,P,45.27692569068709,44.553338819890925,44.553338819890925,41.72529209005013,8.06225774829855,6.4031242374328485,2.8284271247461903,7.280109889280518,23.071067690849304,16.82842707633972,8.0,23.313708305358887,5.385164807134504,5.385164807134504,2.0,7.0
3,4.0,0.0,0.0,22.0,2.0,P,45.27692569068709,0.0,0.0,43.139309220245984,2.8284271247461903,0.0,0.0,6.082762530298219,8.0,0.0,0.0,19.656854152679443,2.0,0.0,0.0,5.385164807134504
4,43.0,0.0,0.0,0.0,1.0,P,44.553338819890925,0.0,0.0,0.0,8.54400374531753,0.0,0.0,0.0,25.313708305358887,0.0,0.0,0.0,7.280109889280518,0.0,0.0,0.0
5,16.5,12.0,17.0,0.0,3.0,P,45.254833995939045,44.553338819890925,43.86342439892262,0.0,5.0,5.656854249492381,7.0710678118654755,0.0,16.242640614509583,13.656854152679443,17.656854152679443,0.0,4.47213595499958,4.47213595499958,5.385164807134504,0.0
6,12.0,18.5,0.0,0.0,2.0,N,45.27692569068709,43.93176527297759,0.0,0.0,4.0,8.602325267042627,0.0,0.0,13.656854152679443,24.242640614509583,0.0,0.0,4.47213595499958,6.708203932499369,0.0,0.0
7,6.0,131.5,0.0,120.0,3.0,P,45.967379738244816,38.2099463490856,0.0,38.18376618407357,3.605551275463989,18.0,0.0,15.811388300841896,10.0,58.5269113779068,0.0,45.11269783973694,2.0,16.278820596099706,0.0,14.317821063276353
8,21.0,17.5,36.5,6.0,4.0,P,44.598206241955516,44.598206241955516,43.18564576337837,43.86342439892262,6.082762530298219,7.810249675906654,8.94427190999916,3.605551275463989,17.656854152679443,21.071067690849304,24.727921843528748,10.0,4.47213595499958,6.708203932499369,7.0710678118654755,2.0
9,11.0,0.0,61.0,0.0,2.0,P,46.010868281309364,0.0,41.773197148410844,0.0,4.123105625617661,0.0,10.04987562112089,0.0,12.828427076339722,0.0,30.97056245803833,0.0,3.1622776601683795,0.0,9.055385138137417,0.0
10,24.5,60.0,25.0,6.0,4.0,P,45.254833995939045,42.44997055358225,43.840620433565945,43.18564576337837,7.0,9.219544457292887,7.615773105863909,3.605551275463989,21.071067690849304,28.97056245803833,20.485281229019165,10.0,5.830951894845301,9.055385138137417,5.830951894845301,2.0
11,29.5,0.0,29.5,0.0,2.0,P,45.254833995939045,0.0,43.86342439892262,0.0,7.0710678118654755,0.0,8.48528137423857,0.0,23.899494767189026,0.0,21.899494767189026,0.0,7.280109889280518,0.0,7.615773105863909,0.0
