,areaQ1,areaQ2,areaQ3,areaQ4,blobs,contourEdgesQ1,contourEdgesQ2,contourEdgesQ3,contourEdgesQ4,diagnostic,distanceQ1,distanceQ2,distanceQ3,distanceQ4,marker,perimeterQ1,perimeterQ2,perimeterQ3,perimeterQ4
0,0.0,6.5,7.0,12.5,3.0,0.0,6.0,5.0,5.0,P,-1.0,45.967379738244816,45.27692569068709,44.553338819890925,ESAT6,0.0,17.071067690849304,10.828427076339722,15.071067571640015
1,57.0,65.5,97.0,11.0,4.0,4.0,4.0,4.0,5.0,P,43.139309220245984,41.72529209005013,39.6232255123179,45.254833995939045,CFP10,31.798989176750183,34.38477575778961,40.28427052497864,17.313708186149597
2,33.5,16.5,10.5,42.0,4.0,6.0,7.0,7.0,7.0,P,43.18564576337837,44.553338819890925,44.553338819890925,43.139309220245984,RV1681,26.727921724319458,19.071067690849304,18.242640614509583,24.14213514328003
3,7.5,8.0,0.0,24.0,3.0,5.0,7.0,0.0,5.0,P,44.553338819890925,44.598206241955516,-1.0,44.553338819890925,ESAT6,12.242640614509583,13.656854152679443,0.0,20.485281229019165
4,48.5,8.0,0.0,0.0,2.0,5.0,5.0,0.0,0.0,P,43.139309220245984,45.254833995939045,-1.0,-1.0,CFP10,28.3847758769989,14.485280990600586,0.0,0.0
5,20.0,15.0,19.0,16.0,4.0,5.0,6.0,5.0,6.0,P,44.553338819890925,44.553338819890925,44.553338819890925,43.86342439892262,RV1681,18.485281109809875,16.485281109809875,18.485281109809875,26.14213526248932
6,16.5,23.5,0.0,0.0,2.0,5.0,6.0,0.0,0.0,N,44.553338819890925,43.86342439892262,-1.0,-1.0,ESAT6,17.899494767189026,27.899494767189026,0.0,0.0
7,10.0,135.5,5.0,129.0,4.0,5.0,5.0,6.0,5.0,P,44.598206241955516,38.18376618407357,45.254833995939045,38.897300677553446,CFP10,13.656854152679443,60.18376588821411,8.828427076339722,54.426406383514404
8,24.5,23.5,40.0,8.0,4.0,4.0,6.0,5.0,6.0,P,44.598206241955516,44.553338819890925,43.139309220245984,45.27692569068709,RV1681,19.899494767189026,24.72792160511017,26.97056221961975,10.828427076339722
9,0.0,0.0,5.5,0.0,1.0,0.0,0.0,5.0,0.0,P,-1.0,-1.0,44.553338819890925,-1.0,ESAT6,0.0,0.0,10.242640614509583,0.0
10,14.5,0.0,63.0,0.0,2.0,4.0,0.0,5.0,0.0,P,45.27692569068709,-1.0,41.72529209005013,-1.0,CFP10,19.071067690849304,0.0,31.79898965358734,0.0
11,28.0,65.0,28.5,15.5,4.0,7.0,4.0,6.0,4.0,P,43.840620433565945,41.72529209005013,43.86342439892262,44.553338819890925,RV1681,23.313708186149597,32.62741661071777,22.727921843528748,17.899494767189026
12,31.0,0.0,33.0,0.0,2.0,5.0,0.0,6.0,0.0,P,43.840620433565945,-1.0,43.840620433565945,-1.0,ESAT6,25.313708305358887,0.0,24.14213538169861,0.0
13,129.0,153.0,10.5,108.0,4.0,5.0,5.0,6.0,6.0,P,38.897300677553446,38.18376618407357,44.553338819890925,40.311288741492746,CFP10,57.597978472709656,59.59797942638397,21.071067690849304,51.9411256313324
14,8.5,51.5,54.5,11.5,4.0,7.0,4.0,5.0,4.0,P,44.598206241955516,42.42640687119285,42.42640687119285,45.27692569068709,RV1681,19.071067690849304,30.3847758769989,29.213202953338623,15.071067571640015
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P,-1.0,-1.0,-1.0,-1.0,ESAT6,0.0,0.0,0.0,0.0
16,33.5,83.0,19.0,63.5,4.0,5.0,6.0,5.0,7.0,P,43.139309220245984,41.72529209005013,43.840620433565945,41.012193308819754,CFP10,22.72792160511017,55.11269783973694,18.485281229019165,31.55634880065918
17,28.0,71.5,0.0,0.0,2.0,6.0,6.0,0.0,0.0,P,43.18564576337837,41.012193308819754,-1.0,-1.0,RV1681,25.313708186149597,33.21320295333862,0.0,0.0
18,9.5,60.0,52.5,4.0,4.0,7.0,5.0,6.0,5.0,P,45.27692569068709,41.72529209005013,41.012193308819754,45.27692569068709,ESAT6,17.071067690849304,31.798989295959473,28.727921724319458,8.828427076339722
19,87.0,102.5,65.0,71.5,4.0,4.0,5.0,5.0,4.0,P,40.311288741492746,40.311288741492746,41.72529209005013,40.311288741492746,CFP10,42.62741661071777,48.870057106018066,31.798989176750183,36.38477611541748
20,32.0,29.0,95.0,92.0,4.0,6.0,4.0,4.0,4.0,P,42.42640687119285,43.139309220245984,38.897300677553446,39.59797974644666,RV1681,22.485281229019165,21.313708186149597,44.28427076339722,38.284270882606506
21,0.0,38.5,0.0,35.5,2.0,0.0,6.0,0.0,6.0,P,-1.0,43.139309220245984,-1.0,43.139309220245984,ESAT6,0.0,24.727921843528748,0.0,23.55634880065918
22,22.0,7.5,46.0,37.0,4.0,7.0,5.0,5.0,5.0,P,44.553338819890925,44.553338819890925,42.42640687119285,43.139309220245984,CFP10,29.313708305358887,13.071067571640015,26.97056233882904,28.97056245803833
23,24.0,44.5,47.5,35.0,4.0,7.0,5.0,6.0,5.0,P,44.553338819890925,43.139309220245984,42.44997055358225,43.840620433565945,RV1681,23.313708186149597,25.899494767189026,28.727921962738037,24.97056233882904
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P,-1.0,-1.0,-1.0,-1.0,ESAT6,0.0,0.0,0.0,0.0
25,41.5,99.5,19.0,73.5,4.0,5.0,6.0,7.0,5.0,P,43.139309220245984,39.59797974644666,43.840620433565945,41.012193308819754,CFP10,25.55634868144989,60.52691149711609,21.313708186149597,38.041629910469055
26,28.5,73.0,0.0,0.0,2.0,5.0,4.0,0.0,0.0,P,43.18564576337837,41.72529209005013,-1.0,-1.0,RV1681,23.899494647979736,35.45584332942963,0.0,0.0
27,10.0,13.5,8.0,9.5,4.0,6.0,4.0,6.0,7.0,P,43.18564576337837,45.254833995939045,43.278170016764804,43.93176527297759,ESAT6,13.656854152679443,19.899494647979736,11.656854152679443,12.242640614509583
28,0.0,35.0,29.0,68.5,3.0,0.0,7.0,6.0,4.0,P,-1.0,42.42640687119285,44.553338819890925,41.72529209005013,CFP10,0.0,28.97056221961975,21.313708305358887,35.21320307254791
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P,-1.0,-1.0,-1.0,-1.0,RV1681,0.0,0.0,0.0,0.0
30,140.0,154.5,121.5,136.5,4.0,5.0,5.0,4.0,5.0,P,38.897300677553446,38.18376618407357,39.59797974644666,38.897300677553446,ESAT6,57.59797918796539,56.183765172958374,49.3553386926651,55.840620040893555
31,23.0,37.5,13.0,27.5,4.0,7.0,7.0,5.0,5.0,P,45.27692569068709,43.840620433565945,44.553338819890925,43.86342439892262,CFP10,22.485281229019165,24.727921843528748,15.656854152679443,23.071067690849304
32,5.0,8.0,0.0,40.0,3.0,6.0,6.0,0.0,6.0,P,45.27692569068709,45.27692569068709,-1.0,43.139309220245984,RV1681,9.656854152679443,13.656854152679443,0.0,26.14213514328003
33,67.5,48.0,16.0,0.0,3.0,5.0,4.0,5.0,0.0,P,41.012193308819754,42.42640687119285,44.553338819890925,-1.0,ESAT6,35.21320295333862,27.798989295959473,18.485281109809875,0.0
34,61.0,7.0,27.5,7.0,4.0,5.0,6.0,6.0,5.0,P,41.72529209005013,44.598206241955516,43.840620433565945,45.254833995939045,CFP10,29.798989415168762,10.828427076339722,27.55634880065918,10.828427076339722
