,CFP10__vBlobs,ESAT6__vBlobs,P24__vBlobs,RV1681__vBlobs,CFP10__vAreas,ESAT6__vAreas,P24__vAreas,RV1681__vAreas
Sensitivity,0.9829545454545454,0.9562841530054644,0.9863013698630136,1.0,0.5595854922279793,0.746031746031746,0.9454191033138402,0.8860103626943006
Specificity,0.40955631399317405,0.352059925093633,0.375,0.21694915254237288,0.9504132231404959,0.896457765667575,0.7674418604651163,0.7988980716253443
Positive Predictive Value,0.5,0.5028735632183908,0.9618320610687023,0.45390070921985815,0.8571428571428571,0.7877094972067039,0.9797979797979798,0.7008196721311475
Negative Predictive Value,0.975609756097561,0.9215686274509803,0.631578947368421,1.0,0.8023255813953488,0.8726790450928382,0.5409836065573771,0.9294871794871795
#TotalPruebas,556.0,558.0,557.0,557.0,556.0,556.0,556.0,556.0
#TP,173.0,175.0,504.0,192.0,108.0,141.0,485.0,171.0
#FP,173.0,173.0,20.0,231.0,18.0,38.0,10.0,73.0
#TN,120.0,94.0,12.0,64.0,345.0,329.0,33.0,290.0
#FN,3.0,8.0,7.0,0.0,85.0,48.0,28.0,22.0
#Indet,87.0,108.0,14.0,70.0,0.0,0.0,0.0,0.0
#Invalidos,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
