,CFP10__vBlobs,ESAT6__vBlobs,P24__vBlobs,RV1681__vBlobs,CFP10__vAreas,ESAT6__vAreas,P24__vAreas,RV1681__vAreas
Sensitivity,0.945945946,0.897435897,0.992753623,1,0.813953488,0.87804878,0.971631206,0.904761905
Specificity,0.529411765,0.62195122,0.666666667,0.436781609,0.669902913,0.730769231,0.8,0.796116505
Positive Predictive Value,0.466666667,0.53030303,0.992753623,0.449438202,0.507246377,0.5625,0.992753623,0.644067797
Negative Predictive Value,0.957446809,0.927272727,0.666666667,1,0.896103896,0.938271605,0.5,0.953488372
#TotalPruebas,146,145,146,145,146,145,146,145
#TP,35,35,137,40,35,36,137,38
#FP,40,31,1,49,34,28,1,21
#TN,45,51,2,38,69,76,4,82
#FN,2,4,1,0,8,5,4,4
#Indet,24,24,5,18,0,0,0,0
#Invalidos,5,5,5,5,5,5,5,5
,,,,,,,,
No Blurry,,,"TH = 26,30,36,26",,,,,
,CFP10__vBlobs,ESAT6__vBlobs,P24__vBlobs,RV1681__vBlobs,CFP10__vAreas,ESAT6__vAreas,P24__vAreas,RV1681__vAreas
Sensitivity,0.944444444,0.894736842,0.992,1,0.80952381,0.875,0.976377953,0.902439024
Specificity,0.506666667,0.602739726,0.666666667,0.44,0.655555556,0.714285714,0.8,0.788888889
Positive Predictive Value,0.478873239,0.53968254,0.992,0.481481481,0.523076923,0.573770492,0.992,0.660714286
Negative Predictive Value,0.95,0.916666667,0.666666667,1,0.880597015,0.928571429,0.571428571,0.946666667
#TotalPruebas,132,131,132,131,132,131,132,131
#TP,34,34,124,39,34,35,124,37
#FP,37,29,1,42,31,26,1,19
#TN,38,44,2,33,59,65,4,71
#FN,2,4,1,0,8,5,3,4
#Indet,21,20,4,17,0,0,0,0
#Invalidos,5,5,5,5,5,5,5,5
,,,,,,,,
Histogram Equalization + No Blurry,,,"TH = 41, 40, 47, 40",,,,,
,CFP10__vBlobs,ESAT6__vBlobs,P24__vBlobs,RV1681__vBlobs,CFP10__vAreas,ESAT6__vAreas,P24__vAreas,RV1681__vAreas
Sensitivity,1,0.948717949,0.992125984,1,0.80952381,0.825,0.960629921,0.857142857
Specificity,0.362318841,0.342857143,0,0.233766234,0.777777778,0.835164835,0.8,0.933333333
Positive Predictive Value,0.463414634,0.445783133,0.976744186,0.415841584,0.62962963,0.6875,0.991869919,0.857142857
Negative Predictive Value,1,0.923076923,0,1,0.897435897,0.915662651,0.444444444,0.933333333
#TotalPruebas,132,131,132,132,132,131,132,132
#TP,38,37,126,42,34,33,122,36
#FP,44,46,3,59,20,15,1,6
#TN,25,24,0,18,70,76,4,84
#FN,0,2,1,0,8,7,5,6
#Indet,25,22,2,13,0,0,0,0
#Invalidos,5,5,5,5,5,5,5,5
,,,,,,,,
Histogram Equalization + No Blurry,,,"TH = 45,48,47,36",,,,,
,CFP10__vBlobs,ESAT6__vBlobs,P24__vBlobs,RV1681__vBlobs,CFP10__vAreas,ESAT6__vAreas,P24__vAreas,RV1681__vAreas
Sensitivity,1,0.948717949,0.992125984,1,0.714285714,0.775,0.976377953,0.857142857
Specificity,0.362318841,0.342857143,0,0.233766234,0.955555556,0.912087912,0.8,0.933333333
Positive Predictive Value,0.463414634,0.445783133,0.976744186,0.415841584,0.882352941,0.794871795,0.992,0.857142857
Negative Predictive Value,1,0.923076923,0,1,0.87755102,0.902173913,0.571428571,0.933333333
#TotalPruebas,132,131,132,132,132,131,132,132
#TP,38,37,126,42,30,31,124,36
#FP,44,46,3,59,4,8,1,6
#TN,25,24,0,18,86,83,4,84
#FN,0,2,1,0,12,9,3,6
#Indet,25,22,2,13,0,0,0,0
#Invalidos,5,5,5,5,5,5,5,5
,,,,,,,,
No Blurry + (Area + 1 Blob),,,"TH = 45,48,47,36",,,,,
,CFP10__vBlobs,ESAT6__vBlobs,P24__vBlobs,RV1681__vBlobs,CFP10__vAreas,ESAT6__vAreas,P24__vAreas,RV1681__vAreas
Sensitivity,0.944444444,0.894736842,0.992,1,0.547619048,0.725,0.913385827,0.682926829
Specificity,0.506666667,0.602739726,0.666666667,0.44,0.955555556,0.934065934,1,0.977777778
Positive Predictive Value,0.478873239,0.53968254,0.992,0.481481481,0.851851852,0.828571429,1,0.933333333
Negative Predictive Value,0.95,0.916666667,0.666666667,1,0.819047619,0.885416667,0.3125,0.871287129
#TotalPruebas,132,131,132,131,132,131,132,131
#TP,34,34,124,39,23,29,116,28
#FP,37,29,1,42,4,6,0,2
#TN,38,44,2,33,86,85,5,88
#FN,2,4,1,0,19,11,11,13
#Indet,21,20,4,17,0,0,0,0
#Invalidos,5,5,5,5,5,5,5,5
,,,,,,,,
No Blurry + (Area+ 1Blob),,,"TH = 45,48,47,36",,,,,
,CFP10__vBlobs,ESAT6__vBlobs,P24__vBlobs,RV1681__vBlobs,CFP10__vAreas,ESAT6__vAreas,P24__vAreas,RV1681__vAreas
Sensitivity,1,0.948717949,0.992125984,1,0.714285714,0.775,0.976377953,0.857142857
Specificity,0.362318841,0.342857143,0,0.233766234,0.955555556,0.912087912,0.8,0.933333333
Positive Predictive Value,0.463414634,0.445783133,0.976744186,0.415841584,0.882352941,0.794871795,0.992,0.857142857
Negative Predictive Value,1,0.923076923,0,1,0.87755102,0.902173913,0.571428571,0.933333333
#TotalPruebas,132,131,132,132,132,131,132,132
#TP,38,37,126,42,30,31,124,36
#FP,44,46,3,59,4,8,1,6
#TN,25,24,0,18,86,83,4,84
#FN,0,2,1,0,12,9,3,6
#Indet,25,22,2,13,0,0,0,0
#Invalidos,5,5,5,5,5,5,5,5
,,,,,,,,
Histogram Equalization + No Blurry + (Area+ 1Blob) All Images,,,,,,,,
,CFP10__vBlobs,ESAT6__vBlobs,P24__vBlobs,RV1681__vBlobs,CFP10__vAreas,ESAT6__vAreas,P24__vAreas,RV1681__vAreas
Sensitivity,0.978021978,0.946236559,0.997214485,1,0.613861386,0.626262626,0.977777778,0.811881188
Specificity,0.30952381,0.271428571,0,0.147982063,0.950381679,0.908745247,0,0.835877863
Positive Predictive Value,0.38034188,0.365145228,0.991689751,0.347079038,0.826666667,0.720930233,0.991549296,0.656
Negative Predictive Value,0.970149254,0.919354839,0,1,0.864583333,0.865942029,0,0.920168067
#TotalPruebas,363,362,363,363,363,362,363,363
#TP,89,88,358,101,62,62,352,82
#FP,145,153,3,190,13,24,3,43
#TN,65,57,0,33,249,239,0,219
